pack,episode,shot_index,start_s,end_s,duration_s,keyframe,mean_motion,face_count,inferred_scale,inferred_motion
long_holds,48,15,88.8,104.16,15.36,keyframes/48/shot_015_088.80s.jpg,0.1623,0,relation_or_environment_unknown,active_motion_or_reframe
long_holds,64,15,44.64,60.0,15.36,keyframes/64/shot_015_044.64s.jpg,0.1777,1,MS half-body,active_motion_or_reframe
long_holds,65,5,10.56,25.92,15.36,keyframes/65/shot_005_010.56s.jpg,0.1732,1,LS/MLS relation,active_motion_or_reframe
long_holds,42,36,75.36,90.24,14.88,keyframes/42/shot_036_075.36s.jpg,0.1539,1,MCU chest-up,active_motion_or_reframe
long_holds,45,10,34.08,48.96,14.88,keyframes/45/shot_010_034.08s.jpg,0.1742,1,MS half-body,active_motion_or_reframe
long_holds,46,3,4.8,19.68,14.88,keyframes/46/shot_003_004.80s.jpg,0.1798,1,MS half-body,active_motion_or_reframe
long_holds,48,11,60.96,75.84,14.88,keyframes/48/shot_011_060.96s.jpg,0.125,2,LS/MLS relation,active_motion_or_reframe
long_holds,58,11,45.12,60.0,14.88,keyframes/58/shot_011_045.12s.jpg,0.187,0,relation_or_environment_unknown,active_motion_or_reframe
long_holds,63,25,63.84,78.72,14.88,keyframes/63/shot_025_063.84s.jpg,0.1885,3,MS half-body,active_motion_or_reframe
long_holds,69,2,23.04,37.92,14.88,keyframes/69/shot_002_023.04s.jpg,0.2152,1,MS half-body,active_motion_or_reframe
long_holds,75,25,74.88,89.76,14.88,keyframes/75/shot_025_074.88s.jpg,0.1637,1,LS/MLS relation,active_motion_or_reframe
long_holds,80,8,61.44,76.32,14.88,keyframes/80/shot_008_061.44s.jpg,0.1781,1,MCU chest-up,active_motion_or_reframe
long_holds,87,21,63.36,78.24,14.88,keyframes/87/shot_021_063.36s.jpg,0.1914,1,MS half-body,active_motion_or_reframe
face_close,2,4,8.64,9.6,0.96,keyframes/2/shot_004_008.64s.jpg,0.3043,1,MCU chest-up,high_cut_or_handheld_motion
face_close,2,5,9.6,17.76,8.16,keyframes/2/shot_005_009.60s.jpg,0.2054,1,MCU chest-up,active_motion_or_reframe
face_close,2,7,19.2,20.64,1.44,keyframes/2/shot_007_019.20s.jpg,0.2698,1,MCU chest-up,high_cut_or_handheld_motion
face_close,2,13,37.44,38.88,1.44,keyframes/2/shot_013_037.44s.jpg,0.2439,1,MCU chest-up,high_cut_or_handheld_motion
face_close,2,42,111.84,114.24,2.4,keyframes/2/shot_042_111.84s.jpg,0.1967,1,MCU chest-up,active_motion_or_reframe
face_close,3,13,28.32,28.8,0.48,keyframes/3/shot_013_028.32s.jpg,0.4637,2,MCU chest-up,high_cut_or_handheld_motion
face_close,3,24,50.88,52.8,1.92,keyframes/3/shot_024_050.88s.jpg,0.2038,1,MCU chest-up,active_motion_or_reframe
face_close,3,26,55.68,57.6,1.92,keyframes/3/shot_026_055.68s.jpg,0.1897,1,MCU chest-up,active_motion_or_reframe
face_close,3,29,63.36,70.08,6.72,keyframes/3/shot_029_063.36s.jpg,0.163,1,MCU chest-up,active_motion_or_reframe
face_close,3,37,86.88,88.32,1.44,keyframes/3/shot_037_086.88s.jpg,0.2708,1,MCU chest-up,high_cut_or_handheld_motion
face_close,3,38,88.32,88.8,0.48,keyframes/3/shot_038_088.32s.jpg,0.5829,1,MCU chest-up,high_cut_or_handheld_motion
face_close,3,39,88.8,89.28,0.48,keyframes/3/shot_039_088.80s.jpg,0.8383,1,MCU chest-up,high_cut_or_handheld_motion
face_close,4,3,4.32,4.8,0.48,keyframes/4/shot_003_004.32s.jpg,0.6333,1,MCU chest-up,high_cut_or_handheld_motion
face_close,4,6,9.12,10.08,0.96,keyframes/4/shot_006_009.12s.jpg,0.3235,1,MCU chest-up,high_cut_or_handheld_motion
face_close,4,19,45.6,46.56,0.96,keyframes/4/shot_019_045.60s.jpg,0.3626,1,MCU chest-up,high_cut_or_handheld_motion
face_close,4,21,48.0,48.48,0.48,keyframes/4/shot_021_048.00s.jpg,0.5715,1,MCU chest-up,high_cut_or_handheld_motion
face_close,4,25,53.28,54.24,0.96,keyframes/4/shot_025_053.28s.jpg,0.3612,1,MCU chest-up,high_cut_or_handheld_motion
face_close,4,26,54.24,55.68,1.44,keyframes/4/shot_026_054.24s.jpg,0.3114,1,MCU chest-up,high_cut_or_handheld_motion
face_close,4,34,72.96,73.92,0.96,keyframes/4/shot_034_072.96s.jpg,0.2794,1,CU shoulder-up,high_cut_or_handheld_motion
face_close,4,38,85.92,88.32,2.4,keyframes/4/shot_038_085.92s.jpg,0.2452,1,CU shoulder-up,high_cut_or_handheld_motion
face_close,4,46,103.2,103.68,0.48,keyframes/4/shot_046_103.20s.jpg,0.5013,1,CU shoulder-up,high_cut_or_handheld_motion
face_close,4,57,112.32,115.68,3.36,keyframes/4/shot_057_112.32s.jpg,0.1906,1,MCU chest-up,active_motion_or_reframe
face_close,5,3,3.84,11.04,7.2,keyframes/5/shot_003_003.84s.jpg,0.2002,1,MCU chest-up,active_motion_or_reframe
face_close,5,7,20.64,22.08,1.44,keyframes/5/shot_007_020.64s.jpg,0.2568,1,MCU chest-up,high_cut_or_handheld_motion
face_close,5,9,25.44,27.84,2.4,keyframes/5/shot_009_025.44s.jpg,0.2059,1,MCU chest-up,active_motion_or_reframe
face_close,5,17,46.08,47.52,1.44,keyframes/5/shot_017_046.08s.jpg,0.3086,1,MCU chest-up,high_cut_or_handheld_motion
face_close,5,20,52.32,53.76,1.44,keyframes/5/shot_020_052.32s.jpg,0.3169,1,MCU chest-up,high_cut_or_handheld_motion
face_close,5,30,68.16,69.12,0.96,keyframes/5/shot_030_068.16s.jpg,0.3436,1,MCU chest-up,high_cut_or_handheld_motion
face_close,6,4,5.28,9.12,3.84,keyframes/6/shot_004_005.28s.jpg,0.1292,1,MCU chest-up,active_motion_or_reframe
face_close,6,6,10.56,12.96,2.4,keyframes/6/shot_006_010.56s.jpg,0.1878,1,MCU chest-up,active_motion_or_reframe
face_close,6,10,20.64,21.12,0.48,keyframes/6/shot_010_020.64s.jpg,0.5564,1,MCU chest-up,high_cut_or_handheld_motion
face_close,6,12,22.56,23.52,0.96,keyframes/6/shot_012_022.56s.jpg,0.3449,1,MCU chest-up,high_cut_or_handheld_motion
face_close,6,13,23.52,26.4,2.88,keyframes/6/shot_013_023.52s.jpg,0.2436,1,MCU chest-up,high_cut_or_handheld_motion
face_close,6,14,26.4,30.72,4.32,keyframes/6/shot_014_026.40s.jpg,0.22,1,MCU chest-up,active_motion_or_reframe
face_close,6,15,30.72,32.64,1.92,keyframes/6/shot_015_030.72s.jpg,0.2416,1,MCU chest-up,high_cut_or_handheld_motion
face_close,6,16,32.64,34.56,1.92,keyframes/6/shot_016_032.64s.jpg,0.2234,1,MCU chest-up,high_cut_or_handheld_motion
face_close,6,18,36.48,37.92,1.44,keyframes/6/shot_018_036.48s.jpg,0.2494,1,MCU chest-up,high_cut_or_handheld_motion
face_close,6,19,37.92,41.28,3.36,keyframes/6/shot_019_037.92s.jpg,0.1647,1,MCU chest-up,active_motion_or_reframe
face_close,6,21,43.2,45.6,2.4,keyframes/6/shot_021_043.20s.jpg,0.1895,2,MCU chest-up,active_motion_or_reframe
face_close,6,23,47.52,48.96,1.44,keyframes/6/shot_023_047.52s.jpg,0.3079,1,MCU chest-up,high_cut_or_handheld_motion
face_close,6,36,77.76,79.68,1.92,keyframes/6/shot_036_077.76s.jpg,0.2434,1,MCU chest-up,high_cut_or_handheld_motion
face_close,6,38,83.04,84.96,1.92,keyframes/6/shot_038_083.04s.jpg,0.2025,1,MCU chest-up,active_motion_or_reframe
face_close,6,43,96.96,101.76,4.8,keyframes/6/shot_043_096.96s.jpg,0.1611,1,MCU chest-up,active_motion_or_reframe
face_close,6,45,103.68,107.04,3.36,keyframes/6/shot_045_103.68s.jpg,0.1606,1,MCU chest-up,active_motion_or_reframe
face_close,6,46,107.04,108.48,1.44,keyframes/6/shot_046_107.04s.jpg,0.2748,1,MCU chest-up,high_cut_or_handheld_motion
face_close,7,2,1.92,9.6,7.68,keyframes/7/shot_002_001.92s.jpg,0.2215,1,MCU chest-up,high_cut_or_handheld_motion
